Name,Number,Material Name,Serial Number,Tag,Record Status,Operational Status,Location,Cabinet Name,Mounting Side,Type,Sub-Status
RT73BB04M4PR,7021,Cisco ASR 9010,FOX1934GC3L,5000007343,Active,Operational,Ashburn\OCE\1\POD 4,4BG103,Front,Chassis,
FC73VBSW02H058P3,7094,Cisco MDS 9509,FOX1639S307,5000003356,Active,Operational,Ashburn\OCE\1\POD 3,3AL058,Front,Chassis,
NBBKP1.1,7329,HP 8360-10,76372,1000092159,Active,Operational,Ashburn\OCE\1\POD 5,5BO028,Front,Chassis,
SU73VNXEPRD03,7393,EMC VNXe 3100,APM00113304652,1000092233,Active,Operational,Ashburn\OCE\1\POD 3,3AL058,Front,Peripheral,
ST73MN12P1-103,7843,Cisco Nexus 2248TP,FOX2007G1GV,5000007676,Active,Operational,Ashburn\OCE\1\POD 1,1BC069,Back,Network,
ST73MN27P1-102,7899,Cisco Nexus 2248TP,FOX2008G6BA,5000007671,Active,Operational,Ashburn\OCE\1\POD 1,1AU023,Front,Network,
SV730ESXAMP001,13852,Cisco UCS C220 M3,FCH1825V29P,5000009711,Active,Operational,Ashburn\OCE\1\POD 3,3AL058,Front,Server,
SV730ESXAMP002,13853,Cisco UCS C220 M3,FCH1825V2Z8,5000009712,Active,Operational,Ashburn\OCE\1\POD 3,3AL058,Front,Server,
SV730ESXAMP003,13854,Cisco UCS C220 M3,FCH1825V2RT,5000009717,Active,Operational,Ashburn\OCE\1\POD 3,3AL058,Front,Server,
SV730ESXAMP004,13855,Cisco UCS C220 M3,FCH1819V2CH,5000009716,Active,Operational,Ashburn\OCE\1\POD 3,3AL058,Front,Server,
SL73ANAHDP1041,14440,HP ProLiant DL360p Gen8,USE438AMB0,5000009762,Active,Operational,Ashburn\OCE\1\POD 5,5AW049,Front,Server,
SL73ANAHDP1141,14441,HP ProLiant DL360p Gen8,USE438AMB1,5000009761,Active,Operational,Ashburn\OCE\1\POD 5,5AV049,Front,Server,
VB14 CHASSIS 2,23750,Cisco UCS 5108,FOX1744HBN2,5000001086,Active,Operational,Ashburn\OCE\1\POD 2,2AZ035,Front,Chassis,
VB14-2/1,24055,Cisco UCS B200 M3,FCH1734J4UW,5000001068,Active,Operational,Ashburn\OCE\1\POD 2,2AZ035,Unmounted,Server,
VB14-2/2,24056,Cisco UCS B200 M3,FCH17367DGA,5000001070,Active,Operational,Ashburn\OCE\1\POD 2,2AZ035,Unmounted,Server,
VB14-2/3,24057,Cisco UCS B200 M3,FCH1736J8ZV,5000001069,Active,Operational,Ashburn\OCE\1\POD 2,2AZ035,Unmounted,Server,
2BA035 VB14 CHASSIS 2 4F,24058,Cisco UCS B200 M2,FCH154170FW,5000004399,Active,Operational,Ashburn\OCE\1\POD 2,2AZ035,Unmounted,Server,
2BA035 VB14 CHASSIS 2 5F,24059,Cisco UCS B200 M2,FCH154170PL,5000004400,Active,Operational,Ashburn\OCE\1\POD 2,2AZ035,Unmounted,Server,
2BA035 VB14 CHASSIS 2 6F,24060,Cisco UCS B200 M2,FCH154970G7,5000004444,Active,Operational,Ashburn\OCE\1\POD 2,2AZ035,Unmounted,Server,
2BA035 VB14 CHASSIS 2 7F,24061,Cisco UCS B200 M2,QCI1502A445,5000004445,Active,Operational,Ashburn\OCE\1\POD 2,2AZ035,Unmounted,Server,
2BA035 VB14 CHASSIS 2 8F,24062,Cisco UCS B200 M2,QCI1539AAF1,5000004446,Active,Operational,Ashburn\OCE\1\POD 2,2AZ035,Unmounted,Server,
ST73VCEVBLAB02P2,24090,Cisco Nexus 3048,FOC1735R03L,5000001083,Active,Operational,Ashburn\OCE\1\POD 2,2AZ035,Back,Network,
ST73VCEVBKLAB04P2,24091,Cisco Nexus 5596UP,FOX1750GLXB,5000001076,Active,Operational,Ashburn\OCE\1\POD 2,2AZ035,Back,Network,
FI7302BB035B,24092,Cisco UCS 6248UP,SSI17360EYH,5000001078,Active,Operational,Ashburn\OCE\1\POD 2,2AZ035,Front,Network,
SL73IFDAPQ03,24095,HP ProLiant DL380 Gen9,MXQ6110440,5000007636,Active,Operational,Ashburn\OCE\1\POD 2,2AZ035,Front,Server,
SL73REDIAPQ01,24096,HP ProLiant DL380 Gen9,MXQ6110447,5000007637,Active,Operational,Ashburn\OCE\1\POD 2,2AZ035,Front,Server,
SL73RMPAPQ01,24097,HP ProLiant DL380 Gen9,MXQ611043N,5000007647,Active,Operational,Ashburn\OCE\1\POD 2,2AZ035,Front,Server,
SL73RMPAPQ02,24098,HP ProLiant DL380 Gen9,MXQ61104HK,5000007664,Active,Operational,Ashburn\OCE\1\POD 2,2AZ035,Front,Server,
SL73RMPAPQ03,24099,HP ProLiant DL380 Gen9,MXQ61104HH,5000007665,Active,Operational,Ashburn\OCE\1\POD 2,2AZ035,Front,Server,
VB14 C220-2,24101,Cisco UCS C220 M3,FCH1748V1WP,5000001075,Active,Operational,Ashburn\OCE\1\POD 2,2AZ035,Front,Server,
ST73NR03P1,30623,Cisco Nexus 6004,FOC1834R1J0,5000009776,Active,Operational,Ashburn\OCE\1\POD 1,1BC069,Front,Chassis,
ST73NR04P1,30624,Cisco Nexus 6004,FOC1834R1JD,5000009777,Active,Operational,Ashburn\OCE\1\POD 1,1BC069,Front,Chassis,
ST73MN11P1-103,30626,Cisco Nexus 2248TP-GE,SSI150803FV,1000120048,Active,Operational,Ashburn\OCE\1\POD 1,1BC069,Back,Network,
SL73ANAHDP1441,47726,HP ProLiant DL380 Gen9,USE518P9AL,5000006361,Active,Operational,Ashburn\OCE\1\POD 5,5AO049,Front,Server,
SL73ANAHDP1439,47727,HP ProLiant DL380 Gen9,USE518P98D,5000006360,Active,Operational,Ashburn\OCE\1\POD 5,5AO049,Front,Server,
SL73ANAHDP1437,47728,HP ProLiant DL380 Gen9,USE518P9CA,5000006359,Active,Operational,Ashburn\OCE\1\POD 5,5AO049,Front,Server,
SL73ANAHDP1435,47729,HP ProLiant DL380 Gen9,USE518P9AM,5000006358,Active,Operational,Ashburn\OCE\1\POD 5,5AO049,Front,Server,
SL73ANAHDP1433,47730,HP ProLiant DL380 Gen9,USE518P9BT,5000006357,Active,Operational,Ashburn\OCE\1\POD 5,5AO049,Front,Server,
SL73ANAHDP1431,47731,HP ProLiant DL380 Gen9,USE518P9BY,5000006356,Active,Operational,Ashburn\OCE\1\POD 5,5AO049,Front,Server,
