Name,Number,Material Name,Serial Number,Tag,Record Status,Operational Status,Location,Cabinet Name,Mounting Side,Type,Sub-Status
SU73VSPPRD04-01,3130,Hitachi Virtual Storage Platform,93920,5000000411,Active,Operational,Ashburn\OCE\1\POD 1,,Unmounted,Peripheral,
SU73VSPPRD04-10,3131,Hitachi Virtual Storage Platform,93920,5000000411,Active,Operational,Ashburn\OCE\1\POD 1,,Unmounted,Peripheral,
SU73VSPPRD04-11,3132,Hitachi Virtual Storage Platform,93920,5000000411,Active,Operational,Ashburn\OCE\1\POD 1,,Unmounted,Peripheral,
SU73VSPPRD03-01,3134,Hitachi Virtual Storage Platform,93749,5000000412,Active,Operational,Ashburn\OCE\1\POD 1,,Unmounted,Peripheral,
SU73VSPPRD03-10,3135,Hitachi Virtual Storage Platform,93749,5000000412,Active,Operational,Ashburn\OCE\1\POD 1,,Unmounted,Peripheral,
SU73VSPPRD03-11,3136,Hitachi Virtual Storage Platform,93749,5000000412,Active,Operational,Ashburn\OCE\1\POD 1,,Unmounted,Peripheral,
VMAX5728-1B,3139,EMC Symmetrix VMAX Storage Bay,HK192605728,5000003334,Active,Operational,Ashburn\OCE\1\POD 4,,Unmounted,Peripheral,
VMAX5728-1C,3140,EMC Symmetrix VMAX Storage Bay,HK192605728,5000003334,Active,Operational,Ashburn\OCE\1\POD 4,,Unmounted,Peripheral,
VMAX5728-2A,3142,EMC Symmetrix VMAX Storage Bay,HK192605728,5000003334,Active,Operational,Ashburn\OCE\1\POD 4,,Unmounted,Peripheral,
SU73VMAX11-2B,3143,EMC VMAX 40K Storage Bay (High Density),HK195701304,5000003840,Active,Operational,Ashburn\OCE\1\POD 4,,Unmounted,Peripheral,
VMAX5728-2B,3144,EMC Symmetrix VMAX Storage Bay,HK192605728,5000003334,Active,Operational,Ashburn\OCE\1\POD 4,,Unmounted,Peripheral,
VMAX5728- 2C,3146,EMC Symmetrix VMAX Storage Bay,HK192605728,5000003334,Active,Operational,Ashburn\OCE\1\POD 4,,Unmounted,Peripheral,
SU73VMAX11-2A,3153,EMC VMAX 40K Storage Bay (High Density),HK195701304,5000003840,Active,Operational,Ashburn\OCE\1\POD 4,,Unmounted,Peripheral,
SU73VMAX12-1A,3155,EMC VMAX 40K Storage Bay,HK195701598,5000000529,Active,Operational,Ashburn\OCE\1\POD 4,,Unmounted,Peripheral,
SU73VMAX11-2D,3156,EMC VMAX 40K Storage Bay (High Density),HK195701304,5000003840,Active,Operational,Ashburn\OCE\1\POD 4,,Unmounted,Peripheral,
SU73UCPVSP01-00,3170,Hitachi Virtual Storage Platform,93917,1000092492,Active,Operational,Ashburn\OCE\1\POD 2,,Unmounted,Peripheral,
SU73UCPVSP01-12,3171,Hitachi Virtual Storage Platform,93917,1000092492,Active,Operational,Ashburn\OCE\1\POD 2,,Unmounted,Peripheral,
SU73UCPVSP01-10,3172,Hitachi Virtual Storage Platform,93917,1000092492,Active,Operational,Ashburn\OCE\1\POD 2,,Unmounted,Peripheral,
SU73UCPVSP01-11,3173,Hitachi Virtual Storage Platform,93917,1000092492,Active,Operational,Ashburn\OCE\1\POD 2,,Unmounted,Peripheral,
SU73VBMAX05-1A,3184,EMC VMAX 20K Storage Bay,HK192605749,5000003196,Active,Operational,Ashburn\OCE\1\POD 1,,Unmounted,Peripheral,
