Name,Number,Material Name,Serial Number,Tag,Record Status,Operational Status,Location,Cabinet Name,Mounting Side,Type,Sub-Status
ST55MGMT03-106,38018,Cisco Nexus 2248TF-1GE,FOX1819GABU,5000009240,Active,Moving,Highlands Ranch\OCC South\1\Floor 1,SDC-1-XX-101,Front,Network,
ST55MGMT03-103,38034,Cisco Nexus 2248TF-1GE,FOX1817G6U6,5000009264,Active,Moving,Highlands Ranch\OCC South\1\Floor 1,SDC-1-XX-93,Front,Network,
ST73IT22AS,38043,Cisco Nexus N9K-C9372PX,SAL2023RDNR,5000012536,Active,Moving,Highlands Ranch\OCC South\1\Floor 1,SDC-1-Y-93,Front,Network,
ST73IT23AS,38044,Cisco Nexus N9K-C9372PX,SAL2023RDPB,5000012537,Active,Moving,Highlands Ranch\OCC South\1\Floor 1,SDC-1-Y-93,Front,Network,
ST55MGMT02-124,38828,Cisco Nexus 2248TP,FOX1818G5KN,5000009238,Active,Moving,Highlands Ranch\OCC South\2\Floor 2,SDC-2-Z-90,Back,Network,
SA55ROLAPP07/08,42765,IBM Power 750 Express (8233-E8B),101CB9P,1000093689,Active,Decommissioning,Highlands Ranch\OCC South\2\Floor 2,SDC-2-MM-40,Front,Server,
SA55ROLAPP05/06,42766,IBM Power 750 Express (8233-E8B),101CBBP,1000093690,Active,Decommissioning,Highlands Ranch\OCC South\2\Floor 2,SDC-2-MM-40,Front,Server,
SV550HYPV2102,96532,HP ProLiant BL460c Gen9,2M272902GH,5000017249,Planned,Procurement,Highlands Ranch\OCC South\2\Floor 2,SDC-2-J-97,Unmounted,Server,
SV550HYPV2003,96533,HP ProLiant BL460c Gen9,2M272902GM,5000017250,Planned,Procurement,Highlands Ranch\OCC South\2\Floor 2,SDC-2-J-97,Unmounted,Server,
SV550HYPV2004,96534,HP ProLiant BL460c Gen9,2M272902GR,5000017252,Planned,Procurement,Highlands Ranch\OCC South\2\Floor 2,SDC-2-J-97,Unmounted,Server,
SV550HYPV2002,96536,HP ProLiant BL460c Gen9,2M272902G7,5000017248,Planned,Procurement,Highlands Ranch\OCC South\2\Floor 2,SDC-2-J-97,Unmounted,Server,
SV550HYPV3103,96568,Dell PowerEdge M630 NEW,DPTHHK2,5000017291,Planned,Procurement,Highlands Ranch\OCC South\2\Floor 2,SDC-2-T-97,Unmounted,Server,
ts55zpe-2z110-sdc01,96758,ZPE NodeGrid S Series (NSC-T48S-STND-DAC-B),140961817,5000017323,Planned,Procurement,Highlands Ranch\OCC South\2\Floor 2,SDC-2-Z-110,Front,Network,
